Dataset,Image,Full,SSIM,Random1 - SSIM,Random2 - SSIM,Random3 - SSIM,Random4 - SSIM,Random5 - SSIM,Euclidean,Random1 - Euclidean,Random2 - Euclidean,Random3 - Euclidean,Random4 - Euclidean,Random5 - Euclidean,,,,,,,,,,,,
DIBCO 09,h01,96.7905,95.0003,96.9272,96.6769,96.6389,96.324,96.7423,95.1641,96.46,97.142,95.8475,96.184,95.2479,,,,,,,,,,,,
,h02,93.425,82.9283,89.2648,88.5433,92.4708,88.618,91.8236,92.9357,92.1331,91.6086,88.0635,94.0423,85.4368,,,,,,,,,,,,
,h03,92.0403,91.535,92.2035,91.5034,91.7207,90.5143,92.8053,90.4573,91.631,92.0095,93.2261,91.4131,90.5446,,,,,,,,,,,,
,h04,90.2891,90.6632,90.3371,89.4997,89.9,89.1461,90.7394,86.9752,92.3506,90.13,91.3289,91.5305,88.7277,,,,,,,,,,,,
,h05,90.3551,90.8872,91.4291,90.899,89.4934,89.7536,91.4377,91.299,90.8428,90.8131,90.8039,91.469,91.8718,,,,,,,,,,,,
,p01,94.9807,95.5012,95.2291,94.5006,93.5804,94.5752,95.2635,94.7195,95.1674,95.7949,95.3238,95.5696,94.662,,,,,,,,,,,,
,p02,96.3958,95.8824,96.4799,96.7038,96.0706,96.1491,96.1077,95.8132,96.4572,96.5419,96.1824,96.9902,96.3964,,,,,,,,,,,,
,p03,87.6826,85.2277,87.8906,82.4685,85.4009,86.1188,86.4631,85.5999,85.1524,87.3841,85.8567,85.603,87.1414,,,,,,,,,,,,
,p04,94.8574,94.365,95.3544,93.8635,94.7904,94.7141,94.8821,94.2086,94.8704,95.028,94.3062,95.1234,93.7251,,,,,,,,,,,,
,p05,95.9727,96.7019,96.0958,96.6143,96.3583,96.1428,96.6479,96.1475,96.741,96.5132,96.1128,96.4542,96.0887,,,,,,,,,,,,
DIBCO 10,h01,98.1784,97.3038,97.5779,97.1668,97.6252,97.4516,97.5208,97.7837,97.5157,97.385,97.8876,98.0749,97.3512,,,,,,,,,,,,
,h02,96.8894,96.9323,95.6944,95.7659,95.0817,97.232,96.3031,97.2596,96.4829,97.2855,96.5752,96.157,96.1368,,,,,,,,,,,,
,h03,98.1992,97.7578,97.6591,97.5306,97.894,98.1738,97.7235,98.0286,98.1826,98.0879,98.3068,97.8678,98.1396,,,,,,,,,,,,
,h04,96.4326,95.7841,96.2034,95.5036,95.8458,96.2753,96.3162,96.2923,96.6836,96.1022,96.2272,96.1074,96.4759,,,,,,,,,,,,
,h05,97.0713,96.9879,96.4771,96.6888,97.1017,97.8249,96.873,97.238,97.4805,96.1706,97.0248,97.2273,97.9536,,,,,,,,,,,,
